Timestamp,log,DurationInMS,BilledDurationInMS,MemorySetInMB,MemoryUsedInMB
2021-04-30 10:59:25.825,257307065737:/aws/lambda/fib_node,29.77,30,128,68
2021-04-30 10:59:25.748,257307065737:/aws/lambda/compute_python,1033.63,1034,128,50
2021-04-30 10:59:25.374,257307065737:/aws/lambda/fib_python,569.29,570,128,48
2021-04-30 10:59:25.223,257307065737:/aws/lambda/compute_node,1423.99,1424,128,85
2021-04-30 10:59:25.203,257307065737:/aws/lambda/compute_python,1007.92,1008,128,50
2021-04-30 10:59:24.439,257307065737:/aws/lambda/compute_node,1383.2,1384,128,85
2021-04-30 10:59:24.414,257307065737:/aws/lambda/fib_python,565.96,566,128,48
2021-04-30 10:59:24.394,257307065737:/aws/lambda/fib_python,577.6,578,128,48
2021-04-30 10:59:24.365,257307065737:/aws/lambda/fib_node,14.18,15,128,68
2021-04-30 10:59:24.205,257307065737:/aws/lambda/fib_node,31.21,32,128,68
2021-04-30 10:59:23.782,257307065737:/aws/lambda/compute_python,988.56,989,128,50
2021-04-30 10:59:23.745,257307065737:/aws/lambda/fib_node,15.77,16,128,68
2021-04-30 10:59:23.394,257307065737:/aws/lambda/fib_python,563.8,564,128,48
2021-04-30 10:59:23.363,257307065737:/aws/lambda/compute_node,1407.45,1408,128,85
2021-04-30 10:59:23.305,257307065737:/aws/lambda/fib_node,12.2,13,128,68
2021-04-30 10:59:23.288,257307065737:/aws/lambda/compute_python,1040.27,1041,128,50
2021-04-30 10:59:22.906,257307065737:/aws/lambda/fib_node,32.12,33,128,68
2021-04-30 10:59:22.845,257307065737:/aws/lambda/fib_node,12.65,13,128,68
2021-04-30 10:59:22.374,257307065737:/aws/lambda/fib_python,582.6,583,128,48
2021-04-30 10:59:22.374,257307065737:/aws/lambda/fib_python,584.53,585,128,48
2021-04-30 10:59:22.343,257307065737:/aws/lambda/compute_python,1026.58,1027,128,50
2021-04-30 10:59:22.246,257307065737:/aws/lambda/fib_node,11.9,12,128,68
2021-04-30 10:59:21.805,257307065737:/aws/lambda/fib_node,20.44,21,128,68
2021-04-30 10:59:21.603,257307065737:/aws/lambda/compute_node,1558.86,1559,128,85
2021-04-30 10:59:21.539,257307065737:/aws/lambda/compute_node,1494.85,1495,128,85
2021-04-30 10:59:21.516,257307065737:/aws/lambda/compute_node,1467.52,1468,128,85
2021-04-30 10:59:21.446,257307065737:/aws/lambda/fib_node,8.54,9,128,68
2021-04-30 10:59:21.354,257307065737:/aws/lambda/fib_python,543.93,544,128,48
